세종특별자치시,세종특별자치시갑,세종특별자치시,1
세종특별자치시,세종특별자치시을,세종특별자치시,1
강원도,춘천시철원군화천군양구군갑,춘천시,1
강원도,춘천시철원군화천군양구군을,춘천시,1,홍천군철원군화천군양구군인제군,2
강원도,동해시태백시삼척시정선군,동해시삼척시,2,태백시횡성군영월군평창군정선군,1
강원도,속초시인제군고성군양양군,속초시고성군양양군,4,홍천군철원군화천군양구군인제군,1
강원도,홍천군횡성군영월군평창군,홍천군철원군화천군양구군인제군,1,태백시횡성군영월군평창군정선군,2
전라남도,순천시광양시곡성군구례군갑,순천시,1
전라남도,순천시광양시곡성군구례군을,순천시,1,광양시곡성군구례군,4
경상북도,안동시예천군,안동시,4,영주시문경시예천군,1
경상북도,영주시영양군봉화군울진군,영주시문경시예천군,1,영양군영덕군봉화군울진군,1
경상북도,상주시문경시,상주시군위군의성군청송군,1,영주시문경시예천군,1
경상북도,군위군의성군청송군영덕군,상주시군위군의성군청송군,2,영양군영덕군봉화군울진군,1
인천광역시,중구강화군옹진군,중구동구강화군옹진군,1
인천광역시,동구미추홀구갑,중구동구강화군옹진군,2,남구갑,5
인천광역시,동구미추홀구을,남구을,1
경기도,부천시갑,부천시원미구갑,1
경기도,부천시을,부천시원미구을,1
경기도,부천시병,부천시소사구,1
경기도,부천시정,부천시오정구,1
경기도,군포시,군포시갑,1,군포시을,1
